"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"ApexCRUDViolation","pmd",5,"Security","force-app/main/default/classes/Demo.cls",11,23,11,77,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexcrudviolation"
"AvoidDebugStatements","pmd",5,"Performance","force-app/main/default/classes/Demo.cls",12,9,12,32,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"AvoidDebugStatements","pmd",5,"Performance","force-app/main/default/classes/Demo.cls",21,25,21,62,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"AvoidDebugStatements","pmd",5,"Performance","force-app/main/default/classes/Demo.cls",22,25,22,44,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"AvoidDebugStatements","pmd",5,"Performance","force-app/main/default/classes/Demo.cls",34,8,34,30,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
